"Actinobacteriota","Gemmatimonadota","Proteobacteria","Myxococcota","Nitrospirota","Chloroflexi","Acidobacteriota","Firmicutes","Verrucomicrobiota","Bacteroidota","Bdellovibrionota","Planctomycetota","Patescibacteria","Cyanobacteria","Methylomirabilota","Elusimicrobiota","Latescibacterota","Armatimonadota","Dependentiae","RCP2.54","Fibrobacterota","Desulfobacterota","SAR324.clade.Marine.group.B.","FCPU426","WS2","WPS.2","Deinococcota","NB1.j","Spirochaetota","Sumerlaeota","MBNT15","Abditibacteriota","Zixibacteria","Nanoarchaeota","GAL15","Entotheonellaeota","Hydrogenedentes","Thermoplasmatota","response"
4544,642,5412,847,342,4794,2494,730,719,2191,84,89,402,211,230,22,97,10,15,42,154,296,0,0,13,9,0,81,44,0,70,0,20,13,7,4,4,0,1
5425,876,6319,1014,420,5347,3089,728,845,2032,68,212,395,257,371,33,133,12,6,73,90,307,0,3,9,5,0,66,33,3,80,0,8,6,0,8,0,0,1
4583,588,4712,905,328,4249,2458,666,693,1876,71,79,317,453,190,24,87,5,20,23,63,293,0,0,0,6,3,63,48,0,49,0,0,7,0,0,2,0,1
4466,541,5264,925,311,4111,2585,495,568,1473,56,310,456,23,226,38,133,5,2,85,15,80,4,7,4,0,0,105,0,0,24,0,11,0,17,0,0,0,1
4666,587,5679,953,293,4350,2594,472,588,1373,53,280,447,47,285,43,144,2,20,71,53,77,0,0,6,0,0,149,15,2,25,0,11,0,8,9,3,0,1
5757,742,6205,943,283,5744,3374,506,707,1391,76,283,524,27,322,34,121,8,2,88,35,42,0,7,13,0,0,93,11,4,19,0,2,0,18,0,0,0,1
7060,1052,8358,1198,329,6913,4247,760,808,1864,117,461,770,124,418,23,207,0,17,123,33,143,0,8,18,2,4,170,20,7,42,0,4,18,14,0,6,0,1
7393,1167,8957,1449,434,7279,4426,661,877,2341,126,410,877,113,401,88,200,6,25,147,41,147,4,5,25,5,0,183,11,3,69,0,9,0,16,22,0,0,1
6605,1043,7902,1384,416,6583,4084,666,798,1895,185,376,820,80,424,74,179,8,35,137,60,133,11,13,6,0,0,174,20,0,57,0,8,11,13,11,2,3,1
8595,1287,9938,1734,416,8011,4384,735,1434,2904,104,436,1025,127,439,53,202,23,10,110,43,134,0,11,36,0,4,162,13,11,30,0,0,12,14,5,4,0,1
7677,1182,9120,1192,367,7051,3888,842,1261,2400,136,274,830,110,490,66,178,9,36,149,67,135,0,0,26,0,0,190,15,0,42,2,6,6,20,8,3,0,1
8519,1111,8448,1286,364,6842,3906,944,1119,2248,134,361,842,122,457,29,129,11,27,134,31,127,5,0,12,5,0,170,0,0,26,0,12,0,16,12,0,0,1
8978,1102,9139,1441,465,6822,4804,1095,854,2624,146,442,843,86,322,47,180,0,5,146,36,97,2,4,10,0,0,142,0,0,36,0,0,2,15,14,0,0,1
5908,594,5788,1001,350,4527,3304,538,618,1343,91,323,421,43,264,47,100,4,9,108,25,44,0,2,11,0,2,99,0,4,28,0,7,0,5,0,3,0,0
6146,681,6128,1006,295,4979,3189,658,554,1399,65,253,506,35,335,33,140,0,14,93,36,100,2,4,11,0,0,70,3,2,40,0,0,4,17,10,0,0,0
6303,664,6264,982,425,5116,3129,731,562,2758,141,76,629,329,370,58,99,9,6,148,73,550,6,11,5,0,0,212,35,0,279,0,17,21,8,10,9,0,0
6569,1370,7169,1131,552,7071,4037,605,974,3140,163,214,814,262,678,12,95,10,11,145,35,367,4,6,3,6,0,135,77,5,232,0,26,20,4,0,9,0,1
9181,1039,9431,1462,703,7333,5186,1092,1004,3566,304,223,859,355,491,59,177,12,9,177,168,633,3,11,12,2,0,249,90,2,306,0,28,8,15,12,0,0,1
4029,499,3391,480,270,2137,1847,303,311,1301,137,36,207,83,221,26,63,4,3,45,142,158,2,0,0,3,0,50,11,0,107,0,0,2,3,0,0,0,1
6831,829,6830,1151,542,5767,3858,743,720,2530,76,178,685,214,464,53,173,2,11,164,51,384,0,5,0,0,0,161,59,2,212,0,19,15,10,0,4,2,1
7783,834,6206,1146,256,4387,3414,655,553,1791,51,208,366,62,346,9,85,4,16,67,43,50,8,0,20,0,0,94,4,0,63,0,4,0,14,9,3,0,1
8563,5341,3092,283,166,7819,2065,24,5,15,34,122,7,0,1019,0,13,3,0,0,0,26,0,0,10,0,0,2,4,0,0,0,0,0,0,0,0,0,1
7887,2443,7113,954,411,7853,4251,168,230,535,62,286,250,10,709,14,117,2,3,58,57,58,0,0,26,0,0,46,0,0,0,0,0,0,2,0,0,0,1
6062,1100,5854,1016,248,4231,3327,517,913,1519,84,240,513,36,358,27,82,17,13,44,50,87,0,7,9,0,0,48,4,0,31,0,0,2,0,6,5,0,1
4464,743,3473,648,221,2604,2073,382,868,899,55,90,286,55,268,18,25,3,16,28,19,58,3,0,7,0,0,26,2,4,9,0,0,0,0,0,0,0,1
212,258,21,6,5,577,98,3,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3842,945,5130,364,158,2361,2294,1077,795,3333,50,75,86,307,51,19,64,17,4,5,4,11,4,0,5,0,6,0,0,8,0,3,0,0,0,0,3,0,1
2768,700,3331,407,147,1524,1702,925,691,1323,67,66,63,57,40,0,30,13,0,0,6,14,3,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,1
451,106,666,72,65,293,367,225,129,291,11,6,5,10,9,3,7,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
1404,381,1209,314,104,900,1126,168,195,386,10,24,9,38,15,13,19,14,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3782,975,3332,515,126,1813,2581,348,573,777,34,53,59,78,37,2,49,27,4,4,10,15,5,0,10,14,0,0,0,2,0,0,0,0,0,0,2,0,1
3310,828,2752,432,141,1867,2421,353,820,542,14,104,68,38,61,11,40,46,16,10,0,9,3,0,9,2,0,0,0,0,0,0,0,0,0,0,2,0,1
3855,520,4348,730,308,3746,2008,530,661,1605,91,51,290,137,195,27,100,0,9,25,58,171,4,12,4,0,0,41,39,0,48,0,0,3,0,0,2,0,1
3025,509,2860,713,321,2313,1533,390,555,955,42,53,345,79,148,30,25,8,15,18,50,170,11,7,7,0,0,43,27,0,42,0,0,3,0,0,4,0,1
5695,777,6925,1232,358,5323,3095,749,1017,2221,123,99,341,114,272,42,157,5,8,51,147,309,11,4,3,0,0,88,50,0,90,0,6,10,0,0,3,0,1
2362,584,2970,460,133,1607,1816,438,422,569,19,18,27,23,19,11,45,6,4,0,0,4,2,0,9,5,3,0,0,7,0,2,0,0,0,0,0,0,1
166,59,381,105,42,74,293,41,47,95,12,2,13,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
753,209,868,167,82,346,736,166,146,167,16,0,13,0,16,0,14,2,5,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2368,104,2118,540,231,1071,1377,381,414,1319,47,78,106,7,39,14,100,0,9,0,51,0,0,6,0,0,0,0,0,4,0,0,0,0,4,0,4,0,1
